elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct,step_ms_per_generation,step_ms_per_frame,board_render_ms_per_frame,work_ms_per_frame,generations_executed,candidate_build_ms_per_generation,candidate_evaluate_ms_per_generation,candidates_per_generation,rows_evaluated_per_generation
77.907,3407237,60,34.967,2.334,283978,32832,428.437,28.598,8.649,2570.623,28.512,427.674,0.025,428.596,45,4.548,21.614,35907.622,299093.622
79.255,3407282,60,33.387,2.218,283974,34606,450.926,29.951,8.206,2705.558,29.848,447.725,0.030,448.716,45,4.693,22.530,35908.422,298980.822
80.547,3407327,60,34.828,2.334,283980,34606,428.483,28.713,8.206,2570.900,28.606,429.085,0.024,430.179,45,4.547,21.702,35987.244,299065.356
81.836,3407372,60,34.920,2.332,283991,32832,428.788,28.637,8.650,2572.729,28.539,428.092,0.024,429.075,45,4.506,21.701,35907.844,299065.867
83.127,3407417,60,34.839,2.314,283993,34607,432.137,28.703,8.206,2592.825,28.605,429.079,0.024,430.157,45,4.528,21.691,35948.933,298993.956
84.408,3407462,60,35.134,2.340,283989,34609,427.337,28.463,8.206,2564.024,28.365,425.479,0.025,426.441,45,4.526,21.503,35949.489,299115.444
85.698,3407507,60,34.890,2.331,283995,34609,428.919,28.662,8.206,2573.512,28.566,428.492,0.024,429.458,45,4.521,21.665,35910.422,299038.956
86.977,3407552,60,35.179,2.350,284006,34608,425.465,28.426,8.206,2552.788,28.353,425.297,0.025,426.232,45,4.504,21.523,35990.489,299046.511
88.257,3407597,60,35.155,2.344,284008,32834,426.573,28.445,8.650,2559.439,28.341,425.120,0.024,426.208,45,4.510,21.517,35910.644,299125.133
89.539,3407642,60,35.101,2.333,284004,34609,428.637,28.489,8.206,2571.823,28.395,425.923,0.026,426.818,45,4.507,21.569,35910.778,299010.822
90.820,3407687,60,35.122,2.350,284010,34610,425.566,28.472,8.206,2553.396,28.365,425.470,0.029,426.544,45,4.530,21.503,35991.533,299098.311
92.110,3407732,60,34.887,2.321,284021,32836,430.785,28.664,8.650,2584.707,28.569,428.529,0.025,429.471,45,4.568,21.636,35912.711,299098.956
93.403,3407777,60,34.809,2.302,284023,34612,434.346,28.728,8.206,2606.075,28.606,429.094,0.024,430.101,45,4.535,21.688,35953.244,299023.956
94.683,3407822,60,35.141,2.343,284019,34612,426.881,28.457,8.206,2561.283,28.341,425.108,0.024,426.062,45,4.498,21.514,35953.311,299146.956
95.966,3407867,60,35.090,2.337,284025,34611,427.922,28.498,8.206,2567.532,28.396,425.942,0.035,426.859,45,4.502,21.584,35913.000,299070.467
97.259,3407912,60,34.806,2.334,284036,34612,428.498,28.730,8.206,2570.987,28.620,429.294,0.025,430.264,45,4.576,21.668,35993.467,299076.511
98.542,3407957,60,35.073,2.333,284038,32839,428.694,28.512,8.649,2572.166,28.418,426.263,0.024,427.161,45,4.539,21.549,35915.200,299158.600
99.842,3408002,60,34.617,2.296,284034,34613,435.522,28.887,8.206,2613.134,28.779,431.680,0.026,432.749,45,4.574,21.789,35915.378,299043.400
101.125,3408047,60,35.078,2.335,284040,34614,428.234,28.508,8.206,2569.405,28.388,425.817,0.025,426.860,45,4.557,21.479,35995.844,299128.311
102.416,3408092,60,34.836,2.330,284051,32839,429.237,28.706,8.650,2575.421,28.558,428.373,0.024,429.314,45,4.532,21.662,35916.222,299130.822
103.714,3408137,60,34.692,2.316,284053,34614,431.691,28.825,8.206,2590.149,28.703,430.541,0.038,431.553,45,4.526,21.763,35955.511,299055.111
105.000,3408182,60,34.985,2.338,284049,34615,427.778,28.583,8.206,2566.669,28.472,427.075,0.025,428.009,45,4.546,21.599,35956.911,299178.333
106.285,3408227,60,35.003,2.332,284055,34615,428.853,28.569,8.206,2573.116,28.413,426.201,0.025,427.273,45,4.530,21.555,35917.867,299103.867
107.570,3408272,60,35.043,2.333,284066,34616,428.643,28.536,8.206,2571.857,28.417,426.252,0.025,427.139,45,4.489,21.603,35997.756,299107.778
108.862,3408317,60,34.817,2.318,284068,32842,431.429,28.722,8.650,2588.575,28.593,428.890,0.028,430.012,45,4.537,21.697,35919.511,299189.911
110.217,3408362,60,33.218,2.166,284064,34615,461.613,30.104,8.206,2769.678,29.991,449.863,0.024,450.828,45,4.661,22.750,35918.533,299075.111
111.506,3408407,60,34.889,2.334,284070,34617,428.384,28.663,8.206,2570.306,28.543,428.147,0.025,429.074,45,4.520,21.678,35998.133,299158.311
112.792,3408452,60,34.995,2.336,284081,32843,428.108,28.575,8.650,2568.645,28.417,426.257,0.023,427.342,45,4.534,21.550,35920.378,299163.533
114.090,3408497,60,34.680,2.343,284083,34618,426.805,28.835,8.206,2560.831,28.717,430.762,0.029,431.788,45,4.528,21.777,35960.444,299088.444
115.381,3408542,60,34.867,2.326,284079,34620,429.967,28.681,8.206,2579.802,28.553,428.293,0.032,429.298,45,4.584,21.635,35961.178,299208.333
116.669,3408587,60,34.930,2.317,284085,34619,431.504,28.629,8.206,2589.021,28.516,427.742,0.035,428.720,45,4.532,21.658,35921.800,299135.378
117.960,3408632,60,34.858,2.324,284096,34618,430.372,28.688,8.207,2582.231,28.562,428.436,0.037,429.501,45,4.524,21.687,36000.400,299139.289
119.242,3408677,60,35.098,2.331,284098,32846,429.006,28.491,8.649,2574.034,28.375,425.624,0.024,426.699,45,4.505,21.508,35922.356,299219.911
120.529,3408722,60,34.965,2.330,284094,34620,429.276,28.600,8.206,2575.658,28.480,427.196,0.025,428.219,45,4.558,21.543,35923.022,299108.289
121.811,3408767,60,35.096,2.337,284100,34621,427.852,28.493,8.206,2567.111,28.365,425.470,0.025,426.546,45,4.525,21.515,36002.800,299191.178
123.234,3408812,60,31.618,1.922,284111,32847,520.389,31.627,8.650,3122.336,31.523,472.852,0.028,473.862,45,4.920,23.828,35924.689,299193.533
124.286,3408842,60,28.526,1.978,284104,34621,505.498,35.056,8.206,3032.986,34.946,524.188,0.026,525.180,30,5.147,26.531,35924.400,299118.133
125.708,3408887,60,31.651,1.805,284110,34621,553.993,31.595,8.206,3323.957,31.496,472.444,0.027,473.372,45,4.899,23.789,36003.111,299201.178
127.076,3408932,60,32.892,2.309,284121,32848,433.046,30.403,8.650,2598.278,30.289,454.332,0.024,455.268,45,4.699,22.933,35924.911,299203.533
